album_id,album_name,release_date,label,copyrights
spotify:album:1klALx0u4AavZNEvC4LrTL,The Beatles (Remastered),1968-11-22,EMI Catalogue,"C © 2015 Apple Corps Ltd, P ℗ 2015 Calderstone Productions Limited (a division of Universal Music Group)"
spotify:album:7HNUG2wb8PPVdjyud73lvw,Come My Way,2000,WM Australia,"C © 2000 Mushroom Records, P ℗ 2000 Mushroom Records"
spotify:album:5c91uYKAFjDmwGCW87pRyx,The Last Waltz,1967-11-25,Decca (UMO),"C © 1967 Decca, a division of Universal Music Operations Limited, P ℗ 2017 Chrysalis Copyrights Limited, a BMG company, under exclusive license to Decca Records, a division of Universal Music Operations Limited"
spotify:album:4q3oz28Y0RUa22SRQh3quY,The Life Of Riley,2011-04-01,Sony Music Entertainment,P (P) 2011 Drapht Music under exclusive licence to Sony Music Entertainment Australia Pty Ltd.
spotify:album:5yqBTSoJqE9EfApl2Pptva,"But Seriously, Folks...",1978-06-01,Rhino/Elektra,"C © 1978 Elektra Entertainment., P ℗ 1978 Elektra Entertainment Company Inc. Marketed by Rhino Entertainment Company, a Warner Music Group Company."
spotify:album:6xPQ1KliozUso45L09UzG0,All-Time Greatest Hits,2015-02-03,Curb Records,"C 2015 Curb Records, Inc., P 2015 Curb Records, Inc."
spotify:album:4ijUWjOHZ5VnUADcOsL1vS,"Drinking From The Sun, Walking Under Stars Restrung",2016-02-19,Universal Music Australia Pty. Ltd.,"C © 2015 Universal Music Australia Pty Ltd., P ℗ 2015 Universal Music Australia Pty Ltd."
spotify:album:30VejVZUhvrqgAebHREG0t,I Do,2017-12-08,Warner Records,"C © 2017 Warner Music Nashville LLC, P ℗ 2017 Warner Music Nashville LLC"
spotify:album:0QhwxYDUougJiVDtyN4Lhm,"R&B - 100 Hits - The Greatest R n B album - 100 R & B Classics featuring Usher, Pitbull and Justin Timberlake",2013-06-24,Sony Music Entertainment,P (P) 2013 Sony Music Entertainment
spotify:album:6P77jds0hG6gVzUuIQVj7E,The Better Life - Deluxe Edition,2007-01-01,Universal Music Group,"C © 2007 Universal Records, a Division of UMG Recordings, Inc., P ℗ 2007 Universal Records, a Division of UMG Recordings, Inc."
spotify:album:73iVQndgikX2BpxklY2b5S,Live At Wembley Arena 2010,2010-07-19,Concert Live Ltd,"C 2010 Concert Live Ltd, P 2010 Concert Live Ltd"
spotify:album:75iYmhihZaJXZ0LmA7JGum,THE NIGHTDAY,2014-04-20,Mind of a Genius,"C 2014 Mind of a Genius, P 2014 Mind of a Genius"
spotify:album:40dT7brCvniJawDHpBCE4A,World Power,1990-01-01,BMG Rights Management GmbH,"C © 1990 BMG Rights Management GmbH, P ℗ 1990 BMG Rights Management GmbH"
spotify:album:475PE6J6LTBGBpt26rRrHe,Schubert Dip,1991-05-07,Believe,"C 1991 Believe, P 1991 Believe"
spotify:album:1w5D9eC3WgKWZZVUwB0GXE,5 Seconds Of Summer,2014-06-27,Capitol,"C © 2014 One Mode Productions Limited, under exclusive licence to Universal Music Operations Limited, P ℗ 2014 One Mode Productions Limited, under exclusive licence to Universal Music Operations Limited"
spotify:album:4IpUyI6R1fyDtJF3cmJS4E,The Power Station,1985,Parlophone UK,"C © 2014 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 2014 Parlophone Records Ltd, a Warner Music Group Company"
spotify:album:0avvtRnA6yIEIFMbqHgSVd,Two Shoes,2005-08-29,Two Shoes Pty Ltd,"C 2005 Two Shoes Pty Ltd, P 2005 Two Shoes Pty Ltd"
spotify:album:0mFDIOqypzHp6Xd0el1hoT,Wildfire,2016-01-01,Columbia,"P (P) 2015 Columbia Records, a Division of Sony Music Entertainment"
spotify:album:4KUYGny3RuZSUC3RiPAmlX,Bad Blood,2015-05-17,"Big Machine Records, LLC.","C © 2015 Big Machine Records, LLC., P ℗ 2015 Big Machine Records, LLC."
spotify:album:59ZRjqjHEKcBvKKbCn7PmT,Hands Of Love,2015-10-02,RCA Records Label,"P (P) 2015 RCA Records, a division of Sony Music Entertainment"
spotify:album:6PzYuR9c0CYCPJTnqylPhd,Rasputin,2021-02-26,NITRON music,P (P) 2021 NITRON music a division of Sony Music Entertainment Germany GmbH / Ministry of Sound Recordings Limited
spotify:album:6COyfLNUUSsBziesrpr378,Be Right There,2015-10-09,WM Australia,"C © 2015 Mad Decent Protocol, LLC, P ℗ 2015 Mad Decent Protocol, LLC. Marketed and distributed by Warner Music Australia Pty. Limited under exclusive licence."
spotify:album:2LZdObLqYP8LxDAHZP34fz,Symphony Or Damn,1992-01-01,Columbia,P 1993 Sony Music Entertainment (United Kingdom) Ltd.
spotify:album:3cJuy4g8vnye5101NGQtmC,The Very Best Of,1994,WM Australia,"C © 1994 Mushroom Records, P ℗ 1994 Mushroom Records"
spotify:album:1Co6e9ag1gRKcWdG7xKcCi,Never Say Never,1998-05-29,Atlantic Records,"C © 2002 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States, P ℗ 1998 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States."
spotify:album:2PBsbww0MYw9F1JzyYWIEO,"Hold On, I'm Comin'",1966,Rhino Atlantic,"C © 2004 Atlantic Recording Corp. Manufactured and Distributed by Warner Strategic Marketing, P ℗ 2004 Atlantic Recording Corp. Manufactured and Distributed by Warner Strategic Marketing"
spotify:album:7hV0YSxAQSng8H0zMR0HBf,...Hits,1998-09-25,Atlantic Records,"C 1998 Atlantic Record Corporation for the United States and WEA International Inc. for the world outside of the United States, P 1998 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States."
spotify:album:2yboV2QBcVGEhcRlYuPpDT,Loose,2006-01-01,Mosley / Geffen,"C © 2006 Geffen Records, P ℗ 2006 Geffen Records"
spotify:album:2LsVtEwJVynQBCL83ZYMkZ,Angel Blood,1996,WM Australia,"C © 1996 Mushroom Records, P ℗ 1996 Mushroom Records"
spotify:album:2JdjS6jjOml7nt7Yjo0nnh,A Girl Like Me,2006-04-10,Def Jam Recordings,"C © 2006 The Island Def Jam Music Group, P ℗ 2006 The Island Def Jam Music Group"
spotify:album:0DFqtZkrESm0borESYr3eC,Tongue N' Cheek,2009-09-25,Liberator Music,"C 2009 Dirtee Stank, P 2009 Dirtee Stank"
spotify:album:2h786XM1x1s0uLH01m4VZI,Martha Reeves & The Vandellas,2010-04-20,Monaco Entertainment Corporation,"C (C) 2010 Monaco Entertainment Corporation, P (P) 2010 TBD"
spotify:album:39bIhzRFvpG37XFoOUQVv6,The Best of the Strangers,1971,Fable Records,"C 1971 Fable Records, P 2017 Southern Cross Music Pty Limited"
spotify:album:7vN82vd1Vq44fjlhjfvHJp,Loud,2010-11-16,Def Jam Recordings,"C © 2011 The Island Def Jam Music Group, P ℗ 2011 The Island Def Jam Music Group"
spotify:album:3IL4csX1tS2G3u3SYvciqg,The Greatest Hits,2010-08-20,WM Australia,"C © 2010 Warner Music Australia Pty Limited, P ℗ 2010 Silverbird (Australia) PTY LTD, under exclusive license to Warner Music Australia Pty Limited"
spotify:album:7l6fTSFvlumnPFpOSrbnDV,I Like Me Better,2017-05-19,Lauv,"C 2017 Lauv, P 2017 Lauv"
spotify:album:7AaqMMiYMvnMB3RcS8u3EY,Sweet Action,2020-03-13,Generation Now/Atlantic,"C © 2020 Generation Now/Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States., P ℗ 2020 Generation Now/Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States."
spotify:album:6THxNKHEOOBIXrKsT4WTmM,Cameo Parkway - The Best Of Dee Dee Sharp (Original Hit Recordings) [International Version],1962-01-01,Universal Music Group,"C © 2006 ABKCO Records Inc., P ℗ 2006 ABKCO Records Inc."
spotify:album:3fZbJRKdX4TAoC43xo5kWK,Like The Deserts Miss The Rain,2002-01-01,Virgin Records,"C © 2002 Virgin Records Ltd/Warner Music UK Ltd, P This Compilation ℗ 2002 Virgin Records Ltd/Warner Music UK Ltd"
spotify:album:0z5c9gnAqCh9br91PUmVvM,Sing My Love,2021-07-23,Zank Music LLC,"C 2021 Zank Music LLC, P 2021 Zank Music LLC"
spotify:album:0ssKKiPvCwNu8gvvUxYfgd,This Is Heaven,2021-03-04,Island Records,"C © 2021 Island Records, a division of UMG Recordings, Inc., P ℗ 2021 Island Records, a division of UMG Recordings, Inc."
spotify:album:06zl9w7hWWtjxFt76bMZEE,500 Miles Away From Home,1963-12-11,RLG/Legacy,P (P) 1963 Sony Music Entertainment
spotify:album:6Cf2G7s7QbnNS6LWPGF1AB,20th Century Masters: The Millennium Collection: Best Of Bachman Turner Overdrive,2000-01-01,Universal Strategic Marketing,"C © 2000 The Island Def Jam Music Group A Universal Company, P ℗ 2000 The Island Def Jam Music Group"
spotify:album:5DS04MgiAZ1dI2jWUpDuGd,Young Lust: The Aerosmith Anthology,2001-11-20,Universal Music Group,"C © 2001 Geffen Records Inc., P ℗ 2001 Geffen Records Inc."
spotify:album:25H4oWFqYPhwEhu0s7yXrk,Harley and Rose,1990-08-10,Sony Music Entertainment,P (P) 1990 Sony Music Entertainment Australia Pty Ltd
spotify:album:21SQdfthbXUibmA8Jtf30b,The Complete Greatest Hits (2013 Remaster),2003,Rhino/Elektra,"C © 2003 Elektra Records, P ℗ 2003 Elektra Records. Marketed by Warner Strategic Marketing, a Warner Music Group Company."
spotify:album:2BDnQEaL2YPc0gSuWhv4rH,I Am Not A Doctor,1998,Echo,"C 2003 The Echo Label Limited, P 1998 The Echo Label Limited"
spotify:album:1KQiX6KfutAN1UEzZ4BK5Q,Sick Boy...This Feeling,2018-09-18,Disruptor Records/Columbia,P (P) 2018 Disruptor Records/Columbia Records
spotify:album:1iGpOMvuM3uaHqjTAakuil,Dystopia,2007,Siberia,"C 2007 Siberia, P 2007 Siberia"
spotify:album:0LhstvCjbg2vx8vi3oAJL6,Hard Candy (Revised International Version),2002-01-01,Universal Music Group,"C © 2002 Geffen Records, P ℗ 2002 Interscope Geffen (A&M) Records A Division of UMG Recordings Inc."
spotify:album:20rfkv1O76ncQWtjSYI8MF,Pacifica (Deluxe),2012-09-07,Modular,"C © 2013 Modular Recordings, P ℗ 2013 Modular Recordings"
spotify:album:2WHgV8cxv9VOg01oNmb5VW,Lovesick Blues,2014-10-01,Mach60 Music,"C 2014 Mach60 Music, P 2014 Mach60 Music"
spotify:album:6rnzvZhe3PA57xKcKLRtJ6,Pure Heroine (Extended),2013-01-01,Universal Music New Zealand Limited,"C © 2013 Universal Music NZ Ltd., P ℗ 2013 Universal Music NZ Ltd."
spotify:album:1AhsZr98dNCfhO1XC4Ht7C,Surfer Girl (Remastered),1963-09-16,Capitol Records,"C © 1963 Capitol Records, LLC, P ℗ 2012 Capitol Records, LLC"
spotify:album:51B7LbLWgYLKBVSpkan8Z7,Eagles (2013 Remaster),1972-06-01,Rhino/Elektra,"C © 1972 Asylum Records, P ℗ 1972 Asylum Records. Marketed by Warner Stategic Marketing, a Warner Music Group Company."
spotify:album:5lrlWKjNY0eTDXp9Bd3LpW,Madonna,1983-07-27,Warner Records,"C © 1983, 2001 Warner Records Inc., P ℗ 1982, 1983 Warner Records Inc."
spotify:album:0UJhhj5bn5AGAjryFnhueP,Bleed American,2001-07-17,Interscope,"C © 2001 UMG Recordings, Inc., P ℗ 2001 UMG Recordings, Inc."
spotify:album:5D43457Yz0FUwufF4ogvfA,It's a Heartache,2006-07-07,Sanctuary Records,"C © 2006 Sanctuary Records Group Ltd., a BMG Company, P ℗ 2006 Sanctuary Records Group Ltd., a BMG Company"
spotify:album:4XDWk7zU6KDgLaqLxEYi8y,Love Grows (Where My Rosemary Goes) & Other Gems,1970-01-01,Crimson,"C (C) 2019 Demon Music Group Ltd., P (P) 1970 Laurence Myers Ltd"
spotify:album:6CAEwxPrcGI50ZcIyOQbEC,BIG LOVE,2018-09-12,UMGRI Interscope,"C © 2018 Interscope Records, P ℗ 2018 Interscope Records"
spotify:album:3smvpv7CdrhVcGYaNDLOqn,Despacito Feat. Justin Bieber (Remix),2017-04-17,Universal Music Group,"C © 2017 Universal Music Latin Entertainment, under exclusive license to Republic Records (RBMG/Def Jam Recordings), P ℗ 2017 Universal Music Latin Entertainment, under exclusive license to Republic Records (RBMG/Def Jam Recordings)"
spotify:album:5Y7iHcYmk13cAa6Vp6x5Q6,Saxuality,1990-06-08,Arista,P (P) 1990 BMG Ariola Benelux BV
spotify:album:1W1b52vaEcE3wfWk4WQH6q,The Definitive Collection,2003,UTV - Motown,"C © 2012 Motown Records, a Division of UMG Recordings, Inc., P This Compilation ℗ 2012 Motown Records, a Division of UMG Recordings, Inc."
spotify:album:7npBPiCHjPj8PVIGPuHXep,Paul Simon,1972-01-14,Legacy Recordings,P (P) 1972 & 2004 Paul Simon under exclusive license to Sony Music Entertainment.
spotify:album:6K7559pAYrNCJwsv1uIIK7,Put Your Records On,2020-04-24,Columbia,P (P) 2020 Disruptor Records/Columbia Records
spotify:album:2UvU0egYoXsysWkHqQy4Lc,Pulses,2014-03-21,Epic,"P (P) 2014 Epic Records, a division of Sony Music Entertainment"
spotify:album:6w36pmMA5bxECalu5rxQAw,1989,2014-10-27,Universal Music Group,"C © 2014 Big Machine Records, LLC, P ℗ 2014 Big Machine Records, LLC"
spotify:album:2HWBPvQoaMFBF6krXyzpOv,Country Grammar,2000-06-27,Universal/Island Def Jam,"C © 2000 Universal Records Inc., P ℗ 2000 Universal Motown Records, a division of UMG Recordings, Inc."
spotify:album:0F77QekrNe8vVAjU2sepja,One of These Nights (2013 Remaster),1975-06-10,Rhino/Elektra,"C © 1975 Asylum Records, P ℗ 1975 Asylum Records. Marketed by Warner Strategic Marketing, a Warner Music Group Company."
spotify:album:0vmQwMo66mLfAwSalSCs7y,Unbelievable,2002-01-01,X-cell Records,"C © 2002 X-cell Records, a division of Universal Music GmbH, P ℗ 2002 X-cell Records, a division of Universal Music GmbH"
spotify:album:5Z5Q2pke3MNAdVXJuVEGNO,All the Very Best,2020-04-25,MICRORICH INC,"C 2020 MICRORICH INC, P 2020 MICRORICH INC"
spotify:album:0rkqvw3a2iubcl4GAfZ0gn,Wild One,2013-05-14,Black Sheep Music,C (C) 2013 Entertain Me Europe LTD
spotify:album:1XQdof8z0wTG0HaBoc1PHL,One Way Ticket to Hell... and Back,2005-11-28,Atlantic Records,"C © 2005 Warner Music UK Ltd, P ℗ 2005 Warner Music UK Ltd"
spotify:album:1jWmEhn3ggaL6isoyLfwBn,The Doors,1967-01-04,Rhino/Elektra,"C © 1967 Elektra Entertainment for United States and WEA International Inc. for the world outside of the United States., P ℗ 1967 Elektra Entertainment Group Inc. for the United States and WEA International Inc. for the world outside of the United States"
spotify:album:4FsWNGbkeZtMD1BWXhIvRk,Night Beat,1963-08,RCA/Legacy,"P Originally released 1963. All rights reserved by RCA Records, a division of Sony Music Entertainment"
spotify:album:12gXA8pXYzj9bycyyKSGAa,Meet The Vamps,2014-01-01,EMI,"C © 2014 Virgin EMI Records, a division of Universal Music Operations Limited, P ℗ 2014 Virgin EMI Records, a division of Universal Music Operations Limited"
spotify:album:2QZwUk5Bpo8HPkshdBcoMU,Wish You Were Sober,2020-03-18,Republic Records,"C © 2020 Republic Records, a division of UMG Recordings, Inc., P ℗ 2020 Republic Records, a division of UMG Recordings, Inc."
spotify:album:4QHFXQLRwZx5122InHluo5,The Best of Big Mountain,1994,Giant,"C © 1994, 1995, 1997, 1998 Giant Records, P ℗ 1994, 1995, 1997, 1998 Giant Records"
spotify:album:4NNxfgVY5ikAbKArjn4sRC,All Time Greatest Hits,1987-01-01,Capitol Records,"C © 1987 Capitol Records, LLC, P This Compilation ℗ 1987 Capitol Records, LLC"
spotify:album:22F5ZYY1sxoJjk6HzZfmC1,Pink Friday: Roman Reloaded The Re-Up (Explicit Version),2012-01-01,Nicki Minaj/Cash Money,"C © 2012 Cash Money Records Inc., P ℗ 2012 Cash Money Records Inc."
spotify:album:7bcaSMlAHnFsJpY4Wjq5Ff,Under A Southern Sky,1990-07-01,WM Australia,"C © 1990 Mushroom Records Pty Ltd, P ℗ 1990 Mushroom Records Pty Ltd"
spotify:album:3fo1BZPICjF1bIQKk1ONfP,Love Me Harder,2014-11-25,mudhutdigital.com,"C 2014 mudhutdigital.com, P 2014 mudhutdigital.com"
spotify:album:7GSkRCzsWwH8rJhzuswLgf,The Best Years of Our Lives (Deluxe Version),1975-03-22,Chrysalis Records,"C 2016 Chrysalis Records Limited, P 2014 Chrysalis Records Limited"
spotify:album:67NWJ3RuWpPohz3zvJmmOb,Sugarpills,2011-06-10,Dryden Street,P (P) 2010 Dryden St under exclusive licence to Sony Music Entertainment Australia Pty Ltd.
spotify:album:6HTNjuPg6UmXE3B8qcOTzy,Home,2020-03-20,Hussle Recordings AU,"C (C) 2020 Hussle Recordings a division of TMRW Music Pty Ltd, P (P) 2020 Hussle Recordings a division of TMRW Music Pty Ltd"
spotify:album:2TKsB0j63p4cM14CBqPEtq,Ultimate Collection,2005-11-04,RCA Records Label,P (P) 2005 SONY BMG MUSIC ENTERTAINMENT (GERMANY) GmbH
spotify:album:77YBl020A0guYeVdTNXGXK,Greatest Hits,2012-01-01,Capitol Records,"C © 2012 Capitol Records, LLC, P ℗ 2012 Capitol Records, LLC"
spotify:album:0F3smCoP8sLUvuLbu0W5mH,Greatest Hits,1974,WM Australia,"C © 1974 Sunshine Records, P ℗ 1974 Sunshine Records"
spotify:album:0X4ZNTZw7SYgrp5rlBQC3N,Hi Infidelity (30th Anniversary Edition),1980,Epic/Legacy,"P (P) 1980, 2011 Sony Music Entertainment/(P) 2011 Sony Music Entertainment"
spotify:album:1nFgJpjh2doGfve56uADlm,"Love, Sax & Flashbacks (Track by Track)",2015-12-03,Syco Music,P (P) 2015 Simco Limited
spotify:album:4xeVBTBwaVNQhUdIRC4G9s,Bang,2021-02-12,Atlantic Records UK,"C An Atlantic Records UK release, © 2021 Warner Music UK Limited., P An Atlantic Records UK release., ℗ 2021 Warner Music UK Limited.Except Track 1 2021 Warner Music UK Limited/ What a DJ Limited"
spotify:album:4fygErqiNgFUic5hU42Z3E,The Long Road,2003-09-23,Roadrunner Records,"C © 2003 The All Blacks B.V., P ℗ 2003 The All Blacks B.V."
spotify:album:2GFflENKz28RcMoSuulPZC,Roses,2015-06-16,Disruptor Records/Columbia,P (P) 2015 Disruptor Records/Columbia Records
spotify:album:5qKXxzwNt1qfRFCdlAqrqd,Love The Fall,2010-06-18,Sony Music Entertainment,P (P) 2010 Sony Music Entertainment Australia Pty Ltd.
spotify:album:6EW7DSC8rjwBJIeAc1d7uQ,Outlandos D'Amour,1978-11-02,A&M,"C © 2003 A&M Records, P ℗ 2003 A&M Records"
spotify:album:0i2VaiznHnihFRJq7iHRG0,Needles & Pins,1964-01-01,Sanctuary Records,"C © 2006 Sanctuary Records Group Ltd., a BMG Company, P ℗ 2006 Sanctuary Records Group Ltd., a BMG Company"
spotify:album:3sjm2CgfGo0DmOWEC7MPBJ,Them Vs. You. Vs. Me,2007,Wind Up,"C (C) 2010 Wind-Up Records LLCThis label copy information is the subject of copyright protection. All rights reserved.(C) EMI Music Germany GmbH & Co. KG, P (P) 2010 The copyright in this sound recording is owned by Wind-Up Records, LLC under exclusive licence to EMI Music Germany GmbH & Co. KG"
spotify:album:6moZ4sNThthUAwCklyuPY8,Ferrari,2022-04-01,Universal-Island Records Ltd.,"C © 2022 James Hype, under exclusive licence to Universal Music Operations Limited, P ℗ 2022 James Hype, under exclusive licence to Universal Music Operations Limited"
spotify:album:0bJMFJ2XQwpO5nKTrYdUtX,The Rolling Stones,1964-04-16,ABKCO (US),"C © 2010 ABKCO Music & Records, Inc., P ℗ 1964 ABKCO Music & Records, Inc."
spotify:album:4aM85igbrBcoRZVt7L11Zn,Alone In Iz World,2001-09-25,Big Boy Records,"C 2001 Mountain Apple Company HAWAII / Big Boy Records, P 2001 Mountain Apple Company HAWAII / Big Boy Records"
spotify:album:15WGW9fyEuS2cWp8aZkNpZ,Best of Chris Isaak (Remastered),2006,Mailboat Records,"C 2013 2006, 2010 Wicked Game, P 2013 2006, 2010 Wicked Game"
spotify:album:38tXOrjXUUfQWWV2DRwMio,Blondes Have More Fun,1978-11-24,Rhino/Warner Records,"C 2008 © 1978 WEA Records B.V., P 2008 ℗ 1978 WEA Records B.V. Marketed by Rhino Entertainment Company, a Warner Music Group Company."
spotify:album:0U6ldwLBEMkwgfQRY4V6D2,Revival,2017-12-15,Aftermath,"C © 2017 Aftermath Records, P ℗ 2017 Aftermath Records"
spotify:album:4YMnOf4a7obOcN1Gy2QEuM,Mood (feat. iann dior),2020-07-24,Records/Columbia,"P (P) 2020 Records Label, LLC / Columbia"
spotify:album:2vZK7ASaJOOGlp9a4CMFeG,Two Shoes (Blank),2007-06-25,Two Shoes Pty Ltd,"C (C) 2007 Two Shoes Pty Ltd, P (P) 2007 Two Shoes Pty Ltd"
spotify:album:0lheRPWdziAtZEiww8TrUO,bury a friend,2019-01-30,Darkroom,"C © 2019 Darkroom/Interscope Records, P ℗ 2019 Darkroom/Interscope Records"
spotify:album:1NefUKCblMkMNlspyQrJEH,10cc,1973,Hipgnosis Songs,"C 2007 Hipgnosis Songs Fund Limited, P 2007 Hipgnosis Songs Fund Limited"
spotify:album:3ebyEGol0Abc7VAxYf7vEg,Unplugged (Deluxe Edition),1992-08-25,Rhino/Warner Records,"C © 2013 Reprise Records, A Warner Music Group Company. All Rights Reserved., P ℗ 2013 MTV Networks. Manufactured & Marketed by Warner Music Group. Made In U.S.A."
spotify:album:2cJ9IMbEO6RiWs3jh4I8zd,Album III,1972,Columbia,P (P) 1972 Sony Music Entertainment Inc.
spotify:album:0PPBGboRS0XAtIFfpffSI0,I Am Me (International Version),2005-01-01,Geffen,"C © 2005 Geffen Records, P ℗ 2005 Geffen Records"
spotify:album:0uv0eA8q8HCfCytsAtZSch,Tongues And Tails,1992-04-06,Columbia,P (P) 1992 Sony Music Entertainment Inc.
spotify:album:1rMnGJr9YrHZepHvgyyJd8,Overnight,2013-01-01,Mercury Records,"C © 2013 The Island Def Jam Music Group, P ℗ 2013 The Island Def Jam Music Group"
spotify:album:22aja1RtjRSzdKRuwx0Aog,Resolution - EP,2013-01-01,Universal Music Australia Pty. Ltd.,"C © 2013 Matt Corby, P ℗ 2013 Matt Corby, Marketed & Distributed in Australasia by Universal Music Australia"
spotify:album:5xEtia4eFu6W3Ql7xgR3Dp,Don't Wait Up,2021-07-16,Sony Music Latin,"P (P) 2021 Ace Entertainment S.ar.l., under exclusive license to Sony Music Entertainment US Latin LLC"
spotify:album:65Uo74eW8L3zXUxSOlSm6H,No Brakes,1984-01-01,Capitol Records,"C © 1984 Capitol Records, LLC, P ℗ 1984 Capitol Records, LLC"
spotify:album:7bPBdkx7Vm2vqDkwnfNlg8,Gold,2005-04-26,UNI/MOTOWN,"C © 2005 UMG Recordings, Inc., P This Compilation ℗ 2005 UMG Recordings, Inc."
spotify:album:682sQ449vmcJXS2AGIMrsl,Welcome To The Real World,1985-11-27,RCA Records Label,P (P) 1985 BMG Entertainment
spotify:album:2oKzsLJeOGZ5bMXDPuWCxe,Gangnam Style (강남스타일),2012-01-01,Universal Music Group,"C © 2012 Schoolboy/Universal Republic Records, a division of UMG Recordings, Inc., P ℗ 2012 Schoolboy/Universal Republic Records, a division of UMG Recordings, Inc."
spotify:album:4jIGlh7B0h1JbNMoR9QU2u,Your Mamma Won't Like Me (2017 Remaster),1975-05-01,Chrysalis Records,"C 1975 Chrysalis Records Limited, P 2017 Chrysalis Records Limited"
spotify:album:5GGIgiGtxIgcVJQnsKQW94,Sweet Melody,2020-10-23,RCA Records Label,"P (P) 2020 Under Exclusive Licence to RCA, a division of Sony Music Entertainment UK Limited"
spotify:album:3II80i5KpS38r0QjNzu8ly,Take You Dancing,2020-07-22,Atlantic Records,"C Atlantic Records, © 2020 Artist Partner Group, Inc., P Atlantic Records, ℗ 2020 Artist Partner Group, Inc."
spotify:album:1C9kaOfbTQ9dxYM4E2Yju2,Break Every Rule,1986-09-05,Parlophone UK,"C © 1986 Parlophone Records Ltd, P ℗ 1986 Parlophone Records Ltd. All rights reserved. Unauthorized reproduction is a violation of applicable laws. Manufactured by Parlophone Records Ltd,"
spotify:album:5PfAboDCGnNBqBKnMyOLB7,Space Oddity [Space Oddity 40th Anniversary Edition],1969-11-04,Parlophone UK,"C 2009 Jones/Tintoretto Entertainment Company LLC under exclusive licence to Parlophone Records Ltd. This label copy information is the subject of copyright protection. All rights reserved. (C) 2009 Parlophone Records Ltd, P 2009 Parlophone Records Ltd, a Warner Music Group Company"
spotify:album:3qUUxffTYleIODTFlc2CXh,A Song Is A City,2004,WM Australia,"C © 2004 Mushroom Records Pty Ltd, P ℗ 2004 Mushroom Records Pty Ltd"
spotify:album:4BdWGUgGvnD6QjrOrU2JZt,Heart Shaped World,1989,Universal Music Australia Pty. Ltd.,"C © 2012 Wicked Game Records, P ℗ 2012 Wicked Game Records"
spotify:album:5tF2lAa2rh2kU2xIiBzWia,Wanted on Voyage,2014-06-27,Columbia,P (P) 2014 Sony Music Entertainment UK Limited
spotify:album:0FZK97MXMm5mUQ8mtudjuK,The Black Parade,2006-10-23,Reprise,"C © 2006 Reprise Records for the U.S. and WEA International Inc. for the world outside the U.S., P ℗ 2006 Reprise Records for the U.S. and WEA International Inc. for the world outside the U.S."
spotify:album:031Opw10ZrHaGAoKVgyHEA,The Best Of Vikki Carr: It Must Be Him,1992-01-01,Capitol Records,"C © 1992 Capitol Records, LLC, P This Compilation ℗ 1992 Capitol Records, LLC"
spotify:album:71Vp64V69S1AQDD87HOZnE,Memphis T-Shirt,2019-11-01,Universal Music Australia Pty. Ltd.,"C © 2019 Universal Music Australia Pty Ltd., P ℗ 2019 Universal Music Australia Pty Ltd."
spotify:album:7CgrejBVsP6OeA3WgxDPPc,Things That We Drink To,2018-10-12,Warner Records,"C © 2018 Warner Music Nashville LLC., P ℗ 2018 Warner Music Nashville LLC."
spotify:album:0VtMlmn7rAcWwxS3QOJo2h,Christina Aguilera,1999-07-15,RCA Records Label,P (P) 2000 BMG Entertainment
spotify:album:2vBLKFrI1rZqB7VtGxcsR5,R.O.O.T.S. (Route of Overcoming the Struggle),2009-03-30,Poe Boy/Atlantic,"C © 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States, P ℗ 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States"
spotify:album:0Em8m9kRctyH9S3MTXAHvY,Tres Hombres (Expanded 2006 Remaster),1973-07-26,Rhino/Warner Records,"C © 2006 Warner Records Inc. Manufactued & Marketed by Warner Strategic Marketing, P ℗ 2006 Warner Records Inc. Manufactued & Marketed by Warner Strategic Marketing"
spotify:album:4b13SJlne61y53KSEwuQtD,Symphony (feat. Zara Larsson),2017-03-16,Atlantic Records UK,"C © 2017 Atlantic Records UK, a Warner Music Group Company, P ℗ 2017 Atlantic Records UK, a Warner Music Group Company"
spotify:album:108biCEg5vUG7Efei5EhTf,Oogum Boogum,1967-01-01,The Bicycle Music Company,"C © 1967 The Bicycle Music Company, P ℗ 1967 The Bicycle Music Company"
spotify:album:6ZOXiVL8rmk2ATHJiFJhiD,Rolling Papers,2011-03-29,Rostrum/Atlantic,"C © 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States, P ℗ 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States"
spotify:album:6dC6J5qkPcJ1iGshEN5MpX,Year Of The Gentleman,2008-01-01,Def Soul,"C © 2008 The Island Def Jam Music Group, P ℗ 2008 The Island Def Jam Music Group"
